Project Name,Cluster Name,Project Type,City,County,State,Digester Type,Status,Year Operational,Animal/Farm Type(s), Cattle , Dairy , Poultry , Swine ,Co-Digestion, Biogas Generation Estimate (cu-ft/day) , Electricity Generated (kWh/yr) ,Biogas End Use(s),LCFS Pathway,System Designer(s)/Developer(s) and Affiliates,Receiving Utility, Total Emission Reductions (MTCO2e/yr) ,Awarded USDA Funding?
"Dairy Energy, Inc. (Van der Hyde Dairy) Digester",,Farm Scale,Chatham,Pittsylvania,VA,Mixed Plug Flow,Operational,2011,Dairy,," 1,200 ",,,,," 3,350,700 ",Cogeneration,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Dominion Virginia Power," 6,275 ",Y
"Blue Spruce Farm, Inc. / Audet's Cow Power Digester",,Farm Scale,Bridport,Addison,VT,Mixed Plug Flow,Operational,2005,Dairy,," 3,900 ",,,Dairy Processing Wastes,," 4,204,800 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Vermont Electric Cooperative," 9,713 ",Y
Chaput Family Farms Digester,,Farm Scale,North Troy,Orleans,VT,Complete Mix,Operational,2010,Dairy,," 1,700 ",,,Food Processing Wastes; Process Water," 111,114 "," 1,600,000 ",Cogeneration,Yes,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Vermont Electric Cooperative," 13,928 ",Y
Dubois Farm Digester,,Farm Scale,Vergennes,Addison,VT,Mixed Plug Flow,Operational,2010,Dairy,," 1,200 ",,,,," 2,700,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS))," 10,952 ",Y
Four Hills Farm Digester,,Farm Scale,Bristol,Addison,VT,Mixed Plug Flow,Operational,2012,Dairy,," 1,200 ",,,,," 3,350,700 ",Cogeneration,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Green Mountain Power (GMP)," 5,177 ",Y
Gervais Family Farm Digester,,Farm Scale,Bakersfield,Franklin,VT,Mixed Plug Flow,Operational,2009,Dairy,, 950 ,,,Dairy Processing Wastes,," 780,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Emosburg Electric," 2,763 ",
Goodrich Family Farm Digester,,Farm Scale,Salisbury,Addison,VT,Complete Mix,Operational,2021,Dairy,, 900 ,,,Food Wastes," 383,562 ",,Pipeline Gas,,Vanguard Renewables [Project Developer],Vermont Gas," 7,350 ",
"Green Mountain Dairy, LLC Digester",,Farm Scale,Sheldon,Frankin,VT,Mixed Plug Flow,Operational,2007,Dairy,," 1,050 ",,,Dairy Processing Wastes," 115,500 "," 1,800,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS))," 3,723 ",Y
Jasper Hill Farm Digester,,Farm Scale,Greensboro,Orleans,VT,Mixed Plug Flow,Operational,2014,Dairy,, 45 ,,,Dairy Processing Wastes; Other Feedstocks,,,Boiler/Furnace fuel,,ECOSolutions [System Designer]; Jasper Hill Farm [Project Developer]; Mountain Air [Construction & Installation],, 163 ,
Kane's Scenic River Farms Digester,,Farm Scale,Enosburg Falls,Franklin,VT,Mixed Plug Flow,Operational,2011,Dairy,, 850 ,,,,," 1,675,350 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS))," 3,169 ",Y
"Maxwell Farm / Neighborhood Energy, LLC Digester",,Farm Scale,Coventry,Orleans,VT,Mixed Plug Flow,Operational,2008,Dairy,, 750 ,,,Food Processing Wastes,," 1,750,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Vermont Electric Cooperative," 2,990 ",Y
Monument Farms Digester,,Farm Scale,Weybridge,Addison,VT,Mixed Plug Flow,Operational,2011,Dairy,, 500 ,,,Dairy Processing Wastes; Food Processing Wastes,," 788,400 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]",Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS))," 1,724 ",Y
"Nelson Boys Dairy, LLC Digester",,Farm Scale,Swanton,Franklin,VT,Mixed Plug Flow,Operational,2007,Dairy,," 1,200 ",,,," 132,000 "," 1,400,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS))," 3,786 ",Y
Pleasant Valley Farms - Berkshire Cow Power Digester,,Farm Scale,Berkshire,Franklin,VT,Mixed Plug Flow,Operational,2006,Dairy,," 1,950 ",,,Dairy Processing Wastes," 220,000 "," 3,500,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS))," 7,025 ",Y
Westminster Farms Digester,,Farm Scale,Putney,Windham,VT,Mixed Plug Flow,Operational,2009,Dairy,," 1,200 ",,,Agricultural Residues; Food Processing Wastes,," 1,642,500 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Green Mountain Power," 3,959 ",Y
"Edaleen Cow Power, LLC Digester",,Farm Scale,Lynden,Whatcom,WA,Mixed Plug Flow,Operational,2012,Dairy,," 2,500 ",,,"Agricultural Residues; Beverage and Distillery Wastes; Dairy Processing Wastes; Fats, Oils, Greases; Food Processing Wastes; Food Wastes; Process Water; Slaughterhouses; Other Feedstocks",," 6,175,800 ",Electricity,Yes,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Regenis [System Designer, Construction & Installation]",Puget Sound Energy," 25,443 ",
Farm Power Lynden Digester,,Farm Scale,Lynden,Whatcom,WA,Mixed Plug Flow,Operational,2010,Dairy,," 2,000 ",,,Food Wastes,," 6,175,800 ",Cogeneration,Yes,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Regenis [System Designer, Construction & Installation]",Puget Sound Energy," 21,236 ",Y
Farm Power Rexville Digester,,Multiple Farm/Facility,Mount Vernon,Skagit,WA,Mixed Plug Flow,Operational,2009,Dairy,," 1,500 ",,,Food Wastes,," 6,175,800 ",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Regenis [System Designer, Construction & Installation]",Puget Sound Energy," 17,028 ",Y
G DeRuyter & Sons Dairy Digester,,Farm Scale,Outlook,Yakima,WA,Mixed Plug Flow,Operational,2006,Dairy,," 4,000 ",,,"Fats, Oils, Greases"," 387,360 "," 9,881,280 ",Cogeneration,Yes,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Regenis [Project Developer, System Designer, Construction & Installation]",Pacific Power & Light (PacifCorp)," 40,709 ",Y
Qualco Energy Digester,,Multiple Farm/Facility,Monroe,Snohomish,WA,Mixed Plug Flow,Operational,2008,Dairy,," 2,000 ",,,Food Wastes; Other Feedstocks,," 3,705,480 ",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Regenis [Project Developer, System Designer, Construction & Installation]",Snohomish County PUD," 19,474 ",Y
Rainier Biogas Digester,,Multiple Farm/Facility,Enumclaw,King,WA,Mixed Plug Flow,Operational,2012,Dairy,," 1,500 ",,,"Agricultural Residues; Beverage and Distillery Wastes; Dairy Processing Wastes; Fats, Oils, Greases; Food Processing Wastes; Food Wastes; Process Water; Slaughterhouses; Other Feedstocks",," 8,234,400 ",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Farm Power Northwest, LLC [Project Developer]; Regenis [System Designer, Construction & Installation]",Puget Sound Energy," 18,496 ",
Van Dyk Dairy Digester,,Farm Scale,Lynden,Whatcom,WA,Complete Mix,Operational,2011,Dairy,, 800 ,,,Dairy Processing Wastes; Food Wastes,," 2,803,200 ",Electricity,,"DariTech, Inc. [System Designer, System Design Engineer]",Puget Sound Energy," 4,086 ",
Vander Haak Dairy Digester,,Farm Scale,Lynden,Whatcom,WA,Mixed Plug Flow,Operational,2004,Dairy,," 1,000 ",,,Food Processing Wastes,," 4,467,600 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Regenis [System Designer]",Puget Sound Energy," 8,683 ",Y
"Bach Digester, LLC Digester",,Farm Scale,Dorchester,Clark,WI,Mixed Plug Flow,Operational,2010,Dairy,," 2,500 ",,,Food Wastes; Process Water,,,Electricity; Boiler/Furnace fuel,,"DVO, Inc. (formerly GHD, Inc.) [System Designer]",Dairyland Power Cooperative," 24,442 ",
"Bach Digester, LLC II Digester",,Farm Scale,Dorchester,Clark,WI,Mixed Plug Flow,Operational,2013,Dairy,," 1,250 ",,,,," 2,233,800 ",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [System Designer]",Dairyland Power Cooperative," 12,212 ",
Baldwin Dairy Digester,,Farm Scale,Baldwin,Saint Croix,WI,Mixed Plug Flow,Operational,2006,Dairy,," 1,050 ",,,Process Water," 130,000 ",,Boiler/Furnace fuel,,"Komro International, LLC [Project Developer, System Designer, System Design Engineer]",," 10,421 ",Y
BC Organics Digester,,Centralized/Regional,Greenleaf,Brown,WI,Complete Mix,Operational,2022,Dairy,," 30,000 ",,,,,,Pipeline Gas,,"Dynamic Concepts, LLC [Project Developer]",," 35,990 ",
C Dairy Farm Digester,,Farm Scale,Mondovi,Dunn,WI,Unknown or Unspecified,Construction,2023,Dairy,," 5,200 ",,,,,,Pipeline Gas,,Brightmark [Project Developer],," 50,412 ",
"Central Sands Dairy, LLC Digester",,Farm Scale,Nekoosa,Wood,WI,Mixed Plug Flow,Operational,2008,Dairy,," 3,900 ",,,Agricultural Residues; Process Water," 407,000 "," 6,307,200 ",Electricity,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Dairyland Power Cooperative," 37,629 ",Y
"Clover Hill Dairy, LLC Digester",,Farm Scale,Campbellsport,Fond du Lac,WI,Mixed Plug Flow,Operational,2007,Dairy,," 2,000 ",,,,,,Pipeline Gas,,"Bartlett & West [System Design Engineer]; DMT Clear Gas Solutions LLC [Biogas Membrane Supplier]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; U.S. Energy [Project Developer]",," 19,389 ",Y
Crave Brothers Farm Digester,,Farm Scale,Waterloo,Dodge,WI,Complete Mix,Operational,2007,Dairy,," 2,450 ",,,Dairy Processing Wastes," 223,000 "," 1,801,515 ",Cogeneration,,"Clear Horizons, LLC [Project Developer, System Designer, System Design Engineer]","WE Energies, Inc."," 6,684 ",
Dairy Dreams Digester - pipeline injection,,Farm Scale,Casco,Kewaunee,WI,Mixed Plug Flow,Operational,2010,Dairy,," 3,000 ",,,,," 5,956,800 ",Electricity; Pipeline Gas,Yes,"DTE Energy [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Northern Biogas [System Designer]",Wisconsin Public Service Corporation," 29,733 ",Y
Dairyland Farm Digester: Original System,,Farm Scale,New Franken,Kewaunee,WI,Mixed Plug Flow,Operational,2012,Dairy,," 3,000 ",,,," 242,000 "," 4,432,560 ",Cogeneration; Boiler/Furnace fuel,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Energy Systems Group, LLC [Project Developer, System Designer]",Wisconsin Public Service Corporation," 11,579 ",Y
Dairyland Farm Digester: RNG,,Farm Scale,New Franken,Kewaunee,WI,Mixed Plug Flow,Construction,2023,Dairy,," 3,157 ",,,,,,CNG,,"Agra Energy [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; University of Wisconsin Oshkosh [Project Developer]; WTE, LLC [Project Developer]",," 8,859 ",
Dallmann East River Dairy Digester,,Farm Scale,Brillion,Calumet,WI,Mixed Plug Flow,Operational,2012,Dairy,," 2,400 ",,,," 250,000 ",,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Nacelle Solutions [Project Developer]; U.S. Energy [Project Developer]",," 9,614 ",Y
Dane County Digester - Springfield Digester,,Centralized/Regional,Middleton,Dane,WI,Complete Mix,Operational,2014,Dairy,," 4,200 ",,,,,,Pipeline Gas,,"CG Schmidt [System Designer, Construction & Installation]; GL Dairy Biogas, LLC [Project Developer]; Northern Biogas [Project Developer]; U.S. Energy [Project Developer]",," 40,718 ",
Dane County Digester - Vienna Digester,,Centralized/Regional,Vienna,Dane,WI,Complete Mix,Operational,2011,Dairy,," 2,500 ",,,"Fats, Oils, Greases; Food Wastes",,,Pipeline Gas,,"Brightmark [Project Developer]; Clear Horizons, LLC [Project Developer, System Designer, System Design Engineer]",ANR Pipeline Company," 24,237 ",
Darlington Ridge Farms Digester,,Farm Scale,Darlington,Lafayette,WI,Complete Mix,Construction,2024,Dairy,," 4,000 ",,,,,,CNG,,Amp Americas [Project Developer],Alliant Energy," 11,224 ",
Deer Run Dairy Digester,,Farm Scale,Kewaunee,Kewaunee,WI,Mixed Plug Flow,Operational,2012,Dairy,," 1,700 ",,,Process Water," 231,000 ",,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; U.S. Energy [Project Developer]; WTE, LLC [Project Developer]",," 6,810 ",Y
Five Star Dairy Farm Digester,,Farm Scale,Elk Mound,Dunn,WI,Complete Mix,Operational,2005,Dairy,," 1,100 ",,,"Fats, Oils, Greases; Process Water",,,Flared Full-time,,"Microgy [Project Developer, System Designer]","Dairyland Power Cooperative; Stargest Power, LLC"," 9,345 ",Y
Four Cubs Farm Digester,,Farm Scale,Grantsburg,Burnett,WI,Covered Lagoon,Operational,2008,Dairy,, 800 ,,,Process Water,,,Flared Full-time,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Environmental Fabrics, Inc. [System Designer, Construction & Installation, Biogas Membrane Supplier]",," 6,817 ",Y
Gordondale Farms - Deer Ridge Digester,,Farm Scale,Nelsonville,Portage,WI,Mixed Plug Flow,Operational,2001,Dairy,, 850 ,,,Process Water," 93,501 "," 876,051 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]","Alliant Energy, Inc."," 3,010 ",Y
Green Valley Dairy Digester,,Farm Scale,Krakow,Shawano,WI,Complete Mix,Operational,2006,Dairy,," 4,700 ",,,Process Water," 600,000 ",,CNG,Yes,"Northern Biogas [Project Developer, System Designer]",," 39,927 ",Y
"Grotegut Dairy Farm, Inc. Digester",,Farm Scale,Newton,Mantiowoc,WI,Mixed Plug Flow,Operational,2009,Dairy,," 2,400 ",,,,,,Cogeneration; CNG,Yes,"DTE Energy [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 14,319 ",Y
"Heller Farms / Cow Poo, LLC Digester",,Farm Scale,Alma Center,Jackson,WI,Complete Mix,Operational,2012,Dairy; Swine,," 1,900 ",," 2,000 ",,," 3,300,000 ",Cogeneration,Yes,Northern Biogas [System Designer],Xcel Energy," 6,732 ",Y
Holsum Dairy - Elm Road Digester,,Farm Scale,Hilbert,Calumet,WI,Mixed Plug Flow,Operational,2007,Dairy,," 4,000 ",,,Food Wastes," 363,000 ",,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; U.S. Energy [Project Developer]",," 16,023 ",Y
Holsum Dairy - Irish Road Digester,,Farm Scale,Hilbert,Calumet,WI,Mixed Plug Flow,Operational,2004,Dairy,," 4,000 ",,,Food Processing Wastes,,,Pipeline Gas,Yes,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; U.S. Energy [Project Developer]",," 16,023 ",Y
Kinnard Farms Digester,,Farm Scale,Casco,Kewaunee,WI,Complete Mix,Construction,2020,Dairy,," 8,300 ",,,," 1,200,000 ",,Pipeline Gas,,DTE Energy [Project Developer],," 33,247 ",
"Majestic Crossing Dairy, LLC Digester",,Farm Scale,Sheboygan Falls,Sheboygan,WI,Plug Flow - Unspecified,Operational,2016,Dairy,, 650 ,,,,,,Electricity,,Digested Organics [System Designer],," 1,824 ",
Maple Leaf Dairy East Digester,,Farm Scale,Cleveland,Manitowoc,WI,Mixed Plug Flow,Operational,2010,Dairy,," 2,000 ",,,,,,Cogeneration; CNG,Yes,"DTE Energy [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 22,925 ",Y
Maple Leaf Dairy West Digester,,Farm Scale,Cleveland,Manitowoc,WI,Mixed Plug Flow,Operational,2010,Dairy,," 4,000 ",,,,,,Electricity; CNG,Yes,"DTE Energy [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 37,185 ",
Matsche Farms Digester,,Farm Scale,Birnamwood,Shawano,WI,Complete Mix,Operational,2023,Dairy,," 10,000 ",,,,,,CNG,,DTE Vantage [Project Developer],," 28,060 ",
Maunesha River Dairy Digester,,Centralized/Regional,Sun Prairie,Dane,WI,Complete Mix,Operational,2014,Dairy,," 1,300 ",,,Agricultural Residues,," 5,000,000 ",Electricity; Cogeneration,,"Gundersen Health System [Project Developer]; U.S. Biogas LLC [System Designer, System Design Engineer]","Alliant Energy, Inc."," 7,214 ",
New Chester Dairy Digester,,Farm Scale,Grand Marsh,Adams,WI,Unknown or Unspecified,Construction,2020,Dairy,," 9,100 ",,,," 1,200,000 ",,Pipeline Gas,,DTE Energy [Project Developer],," 36,452 ",
"Norm-E-Lane, Inc. (NEL) Digester",,Farm Scale,Chili,Clark,WI,Mixed Plug Flow,Operational,2008,Dairy,," 2,600 ",,,," 242,000 "," 3,705,360 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Dairyland Power Cooperative," 24,730 ",Y
Pagels Ponderosa Dairy Digester,,Farm Scale,Kewaunee,Kewaunee,WI,Mixed Plug Flow,Operational,2009,Dairy,," 5,000 ",,,,,,CNG,Yes,DTE Energy [Project Developer],," 42,475 ",Y
Pinnacle Dairy (WI) Digester,,Farm Scale,Brodhead,Green,WI,Covered Lagoon,Operational,2023,Dairy,," 6,217 ",,,,,,CNG,,,," 51,286 ",
Rock Prairie Dairy Digester,,Farm Scale,Avalon,Rock,WI,Covered Lagoon,Operational,2023,Dairy,," 6,080 ",,,,,,CNG,,,," 49,886 ",
Rosendale Digester: RNG,,Farm Scale,Pickett,Winnebago,WI,Complete Mix,Construction,2020,Dairy,," 10,000 ",,,," 1,050,000 ",,Electricity; Pipeline Gas,Yes,DTE Energy [Project Developer],," 92,567 ",
S & S Jerseyland Dairy Digester,,Farm Scale,Sturgeon Bay,Door,WI,Mixed Plug Flow,Operational,2011,Dairy,," 6,000 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Nacelle Solutions [Project Developer]; U.S. Energy [Project Developer]; WTE, LLC [Project Developer]",," 20,664 ",
Statz Brothers A Farm Digester,,Multiple Farm/Facility,Sun Prairie,Dane,WI,Mixed Plug Flow,Operational,2009,Dairy,," 2,100 ",,,," 360,000 ",,Pipeline Gas,Yes,"DTE Energy [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 8,412 ",Y
Statz Brothers B Farm Digester,,Centralized/Regional,Marshall,Dane,WI,Mixed Plug Flow,Operational,2015,Dairy,," 2,500 ",,,,,,Pipeline Gas,Yes,"DTE Energy [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 10,014 ",Y
Sunrise Dairy (formerly Suring Community Dairy) Digester,,Farm Scale,Suring,Oronto,WI,Complete Mix,Operational,2005,Dairy,, 810 ,,,,," 2,000,000 ",Cogeneration,,"Ambico, Inc. [System Designer, System Design Engineer]; Northern Biogas [System Designer]",Wisconsin Public Service Corporation," 8,307 ",Y
Trillium Hill Farm Digester,,Farm Scale,Berlin,Green Lake,WI,Complete Mix,Operational,2023,Dairy,," 1,800 ",,,,,,CNG,,Novilla RNG [Project Developer],Alliant Energy," 5,051 ",
"UW Oshkosh Foundation, Rosendale Biodigester, LLC Digester",,Farm Scale,Pickett,Winnebago,WI,Complete Mix,Operational,2013,Dairy,," 8,500 ",,,," 576,000 "," 12,491,760 ",Electricity,,"BIOFerm Energy Systems [Project Developer, System Designer, System Design Engineer]",Alliant Energy," 81,117 ",
UW-Oshkosh Allen Farms Digester,,Farm Scale,Oshkosh,Winnebago County,WI,Mixed Plug Flow,Operational,2013,Dairy,, 185 ,,,"Fats, Oils, Greases; Process Water; Other Feedstocks"," 25,900 "," 481,800 ",Cogeneration,,"BIOFerm Energy Systems [Project Developer, System Designer, System Design Engineer]",WPS, 863 ,
Vir-Clar Farms Digester,,Farm Scale,Fond du Lac,Fond du Lac,WI,Complete Mix,Operational,2004,Dairy,," 2,000 ",,,,," 6,701,400 ",Cogeneration,,"Northern Biogas [Project Developer, System Designer]","Alliant Energy, Inc."," 21,769 ",Y
Volm Farms Digester,,Farm Scale,Kewaskum,Fond du Lac,WI,Mixed Plug Flow,Operational,2009,Dairy,, 825 ,,,,," 1,675,350 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]","WE Energies, Inc."," 3,510 ",
Wakker Dairy Digester,,Farm Scale,Kewaunee,Kewaunee,WI,Mixed Plug Flow,Operational,2012,Dairy,," 2,100 ",,,,," 4,467,600 ",Electricity,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 9,079 ",
Wild Rose Dairy Digester,,Farm Scale,LaFarge,Vernon,WI,Complete Mix,Operational,2005,Dairy,, 880 ,,,Food Wastes; Process Water,,,Flared Full-time,,"Microgy [Project Developer, System Designer]",Dairyland Power Cooperative," 2,469 ",Y
Zahn's Farms Digester,,Farm Scale,Gillett,Oconto,WI,Mixed Plug Flow,Operational,2023,Dairy,," 7,120 ",,,,,,Pipeline Gas,,"Aerogy Energy [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer]; P&E Solutions [Construction & Installation]",," 69,026 ",
Burnett Dairy Digester,,Farm Scale,Carpenter,Laramie,WY,Mixed Plug Flow,Construction,,Dairy,," 6,210 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; WTE, LLC [Project Developer]",," 7,580 ",
Wyoming Premium Farms 1 Digester,,Farm Scale,Wheatland,Platte,WY,Complete Mix,Operational,2003,Swine,,,," 5,000 ",,," 595,680 ",Electricity,,"AG Engineering, Inc. [System Design Engineer]; Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",," 1,177 ",
